case,ast,dot,png,ir,symbols,semantic_errors,warnings,status
10,yes,yes,no,yes,yes,0,0,PASS
11,yes,yes,no,yes,yes,3,0,SEMANTIC_ERROR
12,yes,yes,yes,yes,yes,0,0,PASS
13,yes,yes,no,yes,yes,0,0,PASS
14,yes,yes,no,yes,yes,0,0,PASS
15,yes,yes,no,yes,yes,0,0,PASS
16,yes,yes,no,yes,yes,0,0,PASS
17,yes,yes,no,yes,yes,2,0,SEMANTIC_ERROR
18,yes,yes,no,yes,yes,0,0,PASS
19,yes,yes,no,yes,yes,1,0,SEMANTIC_ERROR
1,yes,yes,yes,yes,yes,0,0,PASS
20,yes,yes,no,yes,yes,0,0,PASS
21,yes,yes,no,yes,yes,19,0,SEMANTIC_ERROR
22,yes,yes,no,yes,yes,7,0,SEMANTIC_ERROR
23,yes,yes,no,yes,yes,1,0,SEMANTIC_ERROR
24,yes,yes,no,yes,yes,1,1,SEMANTIC_ERROR
25,yes,yes,no,yes,yes,6,0,SEMANTIC_ERROR
26,yes,yes,no,yes,yes,0,0,PASS
27,yes,yes,no,yes,yes,2,0,SEMANTIC_ERROR
28,yes,yes,no,yes,yes,5,0,SEMANTIC_ERROR
29,yes,yes,no,yes,yes,15,0,SEMANTIC_ERROR
2,yes,yes,no,yes,yes,0,1,PASS
30,yes,yes,no,yes,yes,12,0,SEMANTIC_ERROR
31,yes,yes,no,yes,yes,6,0,SEMANTIC_ERROR
32,yes,yes,no,yes,yes,1,0,SEMANTIC_ERROR
33,yes,yes,no,yes,yes,34,0,SEMANTIC_ERROR
3,yes,yes,no,yes,yes,0,0,PASS
4,yes,yes,no,yes,yes,0,0,PASS
5,yes,yes,no,yes,yes,1,0,SEMANTIC_ERROR
6,yes,yes,no,yes,yes,1,0,SEMANTIC_ERROR
7,yes,yes,no,yes,yes,0,0,PASS
8,yes,yes,no,yes,yes,1,0,SEMANTIC_ERROR
9,yes,yes,no,yes,yes,0,1,PASS
